Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
4,0,62,1.4,542,18,266,46,1,1
0,0,156,3.8,866,34,510,26,1,2
4,0,303,7.4,2314,66,1387,34,1,4
4,0,463,6.9,2111,73,1463,54,1,4
0,0,60,1.5,593,14,281,35,0,1
0,0,225,4.6,1230,52,954,20,0,3
4,0,379,7.5,1823,68,1075,53,0,4
1,0,53,1.4,455,14,106,54,0,1
4,0,30,1.9,574,19,287,45,1,1
3,1,291,4.1,1326,51,905,55,0,3
3,1,488,9.5,2840,92,1986,48,0,5
0,0,74,2.0,366,13,253,44,0,1
4,0,230,4.6,1325,55,845,54,0,3
4,0,517,11.8,2435,86,2208,26,1,5
1,0,557,10.4,2900,97,1609,22,1,5
2,0,78,1.5,341,11,259,38,0,1
3,1,321,7.9,2159,64,1499,45,1,4
2,0,579,8.6,2539,84,1935,34,1,5
1,0,382,7.2,1965,67,1341,22,1,4
2,0,516,11.6,2464,82,1767,29,0,5
1,0,598,11.2,2876,85,2477,58,0,5
1,0,102,3.9,747,36,408,49,0,2
3,1,165,2.4,816,35,503,34,1,2
3,1,558,9.8,2765,83,1548,25,0,5
0,0,561,10.6,2547,86,1823,22,1,5
4,0,511,10.9,2514,91,2335,59,0,5
0,0,560,11.3,2947,95,1663,25,0,5
1,0,69,1.3,434,12,164,42,1,1
1,0,44,1.1,531,17,232,26,1,1
3,1,65,1.7,490,17,122,51,0,1
0,0,458,6.0,1875,63,1072,31,0,4
4,0,525,10.8,2445,99,1623,57,1,5
1,0,106,3.0,922,22,313,51,1,2
3,1,188,4.6,1767,47,653,34,1,3
3,1,493,10.4,2453,99,1813,39,1,5
1,0,84,1.5,373,19,299,37,0,1
1,0,104,2.9,653,35,322,30,1,2
4,0,102,3.0,890,38,548,28,1,2
3,1,349,6.6,2041,78,1096,40,0,4
1,0,98,2.0,925,32,457,28,1,2
4,0,72,1.3,461,13,199,32,1,1
2,0,563,11.6,2968,92,2191,34,0,5
2,0,119,2.8,775,31,313,50,0,2
1,0,311,7.9,2231,69,1021,36,1,4
1,0,337,6.1,1901,76,1359,58,1,4
4,0,168,3.5,1055,29,313,54,1,2
3,1,331,7.4,2129,66,1459,53,1,4
0,0,589,9.2,2663,84,1774,45,0,5
2,0,472,6.8,2288,61,1356,52,1,4
2,0,78,1.1,437,14,143,27,0,1
3,1,517,11.6,2798,90,2175,20,1,5
1,0,41,1.6,323,18,221,43,0,1
1,0,49,1.5,571,10,203,29,1,1
2,0,522,11.1,2821,86,1891,42,1,5
0,0,97,2.7,612,36,508,53,1,2
3,1,411,7.4,1960,71,1264,40,1,4
4,0,566,8.6,2595,89,1657,51,0,5
3,1,559,8.2,2618,84,2102,22,0,5
0,0,478,7.3,2340,69,1017,43,0,4
2,0,147,3.2,994,33,567,25,0,2
1,0,395,7.3,2291,61,1049,55,0,4
4,0,357,7.8,2289,74,1242,22,0,4
0,0,405,6.9,2366,61,1434,51,1,4
4,0,501,11.8,2790,86,2074,31,0,5
2,0,575,8.2,2918,88,1928,50,1,5
1,0,257,5.1,1692,46,769,52,0,3
3,1,270,5.0,1532,51,957,35,1,3
0,0,116,2.0,1171,22,573,33,0,2
3,1,98,2.3,608,24,394,56,1,2
2,0,264,5.1,1293,52,737,27,0,3
4,0,572,11.7,2655,91,2481,57,0,5
2,0,202,4.9,1549,43,964,27,0,3
3,1,83,1.4,454,11,228,46,1,1
3,1,32,1.4,416,12,198,56,1,1
3,1,168,3.2,716,38,414,43,1,2
3,1,416,6.1,2115,71,1041,22,0,4
2,0,46,1.1,536,18,167,28,0,1
1,0,201,5.0,1482,59,709,24,1,3
4,0,130,2.8,1062,24,579,37,1,2
1,0,98,2.4,747,36,403,44,0,2
1,0,105,3.8,967,28,489,51,1,2
2,0,94,2.3,1033,33,369,58,1,2
2,0,540,10.1,2757,90,2180,37,1,5
3,1,266,5.5,1238,59,839,22,1,3
3,1,140,3.8,1137,36,506,53,1,2
0,0,534,10.4,2672,90,1702,51,1,5
1,0,46,2.0,309,15,116,42,1,1
3,1,581,8.4,2591,99,2304,58,1,5
2,0,105,3.4,798,21,467,34,0,2
1,0,221,4.4,1341,46,862,20,1,3
3,1,41,1.7,408,16,291,34,1,1
1,0,105,3.0,728,24,343,52,0,2
0,0,123,3.9,915,39,468,18,1,2
0,0,260,5.7,1725,56,920,36,0,3
4,0,223,5.7,1295,44,751,39,1,3
0,0,66,1.1,505,17,218,33,1,1
3,1,231,4.0,1664,48,724,29,0,3
3,1,555,8.8,2540,97,2402,22,1,5
4,0,378,7.2,1859,61,1318,58,1,4
1,0,546,8.8,2852,81,1641,24,1,5
4,0,234,5.2,1604,58,919,58,1,3
4,0,152,3.0,617,22,306,22,0,2
0,0,34,1.2,518,10,170,20,0,1
4,0,179,3.5,1114,30,466,56,1,2
1,0,591,11.8,2953,92,1903,52,1,5
4,0,120,3.3,734,35,583,26,1,2
0,0,88,1.3,557,13,164,43,1,1
3,1,143,3.9,1160,24,398,45,1,2
3,1,74,1.6,436,13,182,27,0,1
3,1,74,1.6,587,15,275,27,0,1
1,0,234,4.7,1707,55,871,46,1,3
3,1,56,1.0,547,10,142,58,0,1
1,0,174,2.4,639,37,545,50,1,2
4,0,523,9.0,2696,91,1561,20,0,5
4,0,123,3.3,938,36,438,55,1,2
4,0,216,5.9,1789,54,987,55,1,3
3,1,290,4.6,1694,50,809,23,1,3
2,0,68,1.3,583,10,281,26,0,1
1,0,265,4.8,1770,51,723,55,0,3
4,0,414,7.3,2349,75,1092,51,1,4
0,0,238,4.0,1414,47,661,41,0,3
2,0,429,7.5,1921,61,1102,46,1,4
2,0,39,1.9,541,16,294,37,1,1
4,0,248,4.6,1396,52,883,40,1,3
2,0,541,9.4,2452,93,1811,53,0,5
2,0,139,3.0,697,37,513,26,0,2
3,1,289,5.0,1625,45,687,29,1,3
2,0,210,4.9,1657,55,765,49,0,3
4,0,412,6.2,2201,68,1085,54,0,4
0,0,318,6.6,2089,77,1126,49,0,4
3,1,258,4.2,1315,44,762,59,0,3
1,0,258,4.3,1759,59,718,41,0,3
4,0,189,4.8,1681,59,795,57,1,3
3,1,155,2.4,954,39,441,51,1,2
4,0,528,10.4,2717,87,2140,34,1,5
3,1,549,11.1,2851,87,1814,56,1,5
2,0,78,1.6,470,18,230,49,0,1
3,1,444,6.0,1873,61,1093,39,0,4
2,0,80,1.1,417,18,298,36,1,1
3,1,131,3.8,739,34,330,57,0,2
3,1,228,4.4,1734,46,804,57,0,3
2,0,416,7.3,1882,62,1333,32,0,4
0,0,586,9.3,2403,94,2332,21,1,5
0,0,416,6.1,2279,71,1096,47,1,4
3,1,152,3.7,948,22,507,53,0,2
2,0,87,1.5,594,19,198,36,0,1
1,0,329,6.8,1892,69,1383,23,1,4
4,0,107,2.5,1176,24,545,29,0,2
0,0,493,10.9,2928,88,2116,57,1,5
3,1,182,4.8,1500,51,807,43,0,3
3,1,102,2.9,918,37,362,20,0,2
0,0,274,4.5,1356,54,869,53,1,3
3,1,143,3.6,988,26,504,45,0,2
0,0,66,1.3,369,14,195,32,1,1
2,0,420,7.7,2017,74,1187,24,0,4
2,0,582,8.4,2664,91,2493,55,0,5
0,0,200,5.8,1291,50,965,52,1,3
0,0,493,8.5,2859,99,2450,47,1,5
4,0,348,6.6,2398,66,1415,49,0,4
2,0,238,5.1,1408,45,941,27,1,3
2,0,33,2.0,318,11,173,42,0,1
0,0,267,5.9,1740,45,791,22,1,3
3,1,492,10.0,2513,90,1968,31,1,5
0,0,241,5.3,1767,58,976,38,0,3
4,0,567,10.8,2911,89,1682,39,1,5
4,0,36,1.6,442,17,249,34,1,1
1,0,110,3.4,975,31,507,57,0,2
4,0,466,7.1,1984,73,1461,54,1,4
1,0,126,2.2,1187,28,599,25,1,2
2,0,120,3.8,940,36,535,44,1,2
3,1,64,1.2,592,19,218,25,1,1
1,0,574,8.5,2780,87,1809,34,0,5
1,0,119,2.2,1123,22,371,51,1,2
1,0,350,6.5,2364,75,1485,20,1,4
0,0,69,1.1,535,17,250,25,1,1
2,0,438,6.5,1849,64,1125,49,0,4
4,0,506,11.2,2623,98,2460,48,1,5
4,0,272,5.2,1390,45,792,57,0,3
4,0,224,4.5,1646,57,665,59,1,3
0,0,99,2.4,689,36,318,29,0,2
3,1,44,1.2,466,10,131,57,0,1
0,0,175,3.0,801,32,338,24,1,2
0,0,228,4.8,1639,47,796,42,0,3
2,0,589,11.8,2629,86,2479,43,0,5
1,0,339,7.9,1987,66,1191,47,1,4
3,1,431,6.4,2206,66,1200,23,0,4
2,0,190,4.7,1276,57,915,22,0,3
1,0,389,6.1,2087,67,1383,30,1,4
4,0,139,3.3,937,24,573,25,0,2
4,0,289,5.9,1528,48,915,30,1,3
4,0,593,11.1,2672,82,2258,34,0,5
0,0,576,9.5,2638,98,2281,38,0,5
1,0,592,9.4,2867,95,1701,27,0,5
3,1,567,10.5,2817,89,2194,52,1,5
3,1,170,2.5,740,21,537,25,0,2
0,0,242,5.4,1307,48,642,28,1,3
4,0,275,5.5,1616,48,656,55,1,3
0,0,544,9.7,2633,97,1727,28,0,5
1,0,50,2.0,362,17,182,34,0,1
1,0,236,4.6,1750,45,971,21,0,3
3,1,139,2.6,658,33,358,58,0,2
0,0,383,6.6,2155,74,1360,45,1,4
4,0,172,4.0,1047,32,508,21,0,2
2,0,455,6.2,1984,72,1287,42,1,4
4,0,157,2.5,1110,30,373,37,0,2
3,1,173,3.8,605,23,583,32,1,2
4,0,405,7.3,2082,75,1162,37,0,4
3,1,387,6.6,2168,61,1246,19,0,4
2,0,201,4.9,1633,41,972,32,0,3
3,1,142,3.5,625,25,370,40,0,2
4,0,198,4.2,1392,43,640,27,1,3
0,0,361,7.6,2037,65,1056,55,1,4
1,0,553,11.6,2914,81,1860,47,1,5
4,0,408,6.2,2245,69,1103,38,0,4
2,0,121,2.1,1188,21,578,18,1,2
0,0,71,1.4,508,15,265,33,0,1
3,1,46,1.6,440,10,265,31,1,1
2,0,290,4.4,1272,55,910,44,1,3
4,0,60,1.3,462,15,296,40,1,1
0,0,116,3.9,1132,26,498,35,0,2
1,0,86,1.7,312,16,227,32,1,1
0,0,291,5.3,1537,43,700,49,0,3
0,0,404,6.6,2181,77,1327,18,1,4
1,0,441,7.1,1928,74,1421,57,1,4
0,0,444,6.1,2229,73,1194,25,0,4
1,0,211,5.9,1757,42,864,56,0,3
4,0,537,9.1,2858,86,2158,22,1,5
2,0,519,10.9,2571,93,2163,47,0,5
4,0,94,3.5,606,30,446,49,1,2
0,0,554,10.3,2776,83,1606,34,0,5
3,1,381,7.5,2216,66,1291,37,0,4
1,0,257,6.0,1715,49,916,40,0,3
4,0,47,1.1,532,18,122,36,1,1
3,1,527,10.0,2430,82,1737,27,0,5
4,0,148,2.7,625,34,416,27,1,2
3,1,191,5.7,1414,53,991,19,0,3
0,0,71,1.9,571,10,117,43,0,1
1,0,73,1.3,538,19,175,30,0,1
1,0,149,3.1,1191,28,563,29,1,2
2,0,197,4.4,1665,44,608,43,0,3
4,0,328,6.1,1975,72,1101,24,1,4
1,0,424,7.5,1995,75,1228,36,1,4
4,0,111,3.6,627,26,464,39,0,2
4,0,159,3.7,630,33,575,30,1,2
0,0,580,11.5,2767,84,2341,36,0,5
4,0,379,7.7,1809,64,1050,22,0,4
4,0,217,4.2,1500,42,677,26,0,3
2,0,447,6.3,1959,63,1441,48,1,4
1,0,512,10.5,2538,82,1694,41,1,5
2,0,511,10.8,2529,91,2387,21,1,5
1,0,140,2.5,825,31,347,59,1,2
4,0,114,3.0,1131,31,596,28,1,2
4,0,192,4.3,1382,42,905,47,0,3
3,1,325,6.0,2244,70,1296,30,0,4
1,0,83,1.2,545,15,284,44,1,1
1,0,122,3.0,922,32,373,43,1,2
1,0,138,2.1,660,22,424,41,0,2
1,0,182,5.3,1278,42,885,54,0,3
1,0,425,6.0,1928,72,1150,53,0,4
1,0,580,10.4,2496,81,2441,37,0,5
2,0,203,4.0,1323,56,787,21,1,3
2,0,258,4.9,1596,56,937,40,0,3
3,1,551,8.5,2927,92,1901,51,1,5
3,1,507,9.6,2606,95,1543,48,1,5
2,0,57,1.3,489,16,131,37,1,1
2,0,553,10.2,2911,82,2441,44,1,5
0,0,49,1.1,395,16,153,46,0,1
4,0,106,4.0,1158,23,493,18,1,2
0,0,119,3.7,608,36,461,52,1,2
1,0,288,5.4,1476,49,767,36,0,3
0,0,225,5.6,1388,55,965,36,0,3
1,0,342,7.0,1826,71,1077,26,0,4
4,0,292,4.2,1407,54,867,59,1,3
3,1,218,5.0,1475,46,972,59,0,3
0,0,64,1.8,351,15,274,56,1,1
2,0,453,7.4,2363,65,1046,41,0,4
1,0,42,1.8,417,15,284,21,1,1
4,0,36,1.5,310,15,272,45,1,1
1,0,55,1.8,328,12,196,31,0,1
3,1,210,5.0,1614,53,679,55,0,3
3,1,227,5.2,1446,46,920,59,1,3
2,0,47,1.2,437,18,234,55,1,1
3,1,461,6.3,1988,62,1004,21,1,4
0,0,94,3.1,1078,38,489,25,1,2
4,0,216,5.1,1483,54,977,45,0,3
3,1,496,10.2,2587,84,1921,56,0,5
1,0,138,3.2,1142,31,366,29,0,2
3,1,318,6.6,2055,67,1253,43,1,4
4,0,96,3.4,1198,39,401,48,0,2
1,0,510,10.7,2433,90,1729,47,1,5
2,0,83,1.1,546,10,289,32,0,1
0,0,417,6.2,2074,63,1135,35,0,4
0,0,538,9.8,2778,91,2080,35,0,5
4,0,63,1.8,321,11,271,42,1,1
1,0,50,1.4,443,16,255,26,0,1
0,0,502,8.2,2597,90,1553,27,1,5
1,0,105,3.3,723,35,566,46,1,2
0,0,186,4.8,1494,53,949,20,0,3
2,0,174,2.9,1197,23,345,20,0,2
4,0,89,1.3,314,16,201,58,0,1
3,1,66,1.5,565,17,283,42,0,1
3,1,389,6.3,2294,76,1334,53,1,4
2,0,186,5.4,1627,58,790,31,0,3
0,0,149,2.0,1041,39,356,49,1,2
3,1,69,1.7,519,10,167,51,0,1
2,0,206,5.2,1632,47,694,30,1,3
4,0,49,1.2,365,19,144,29,1,1
0,0,594,10.5,2839,91,1647,56,1,5
0,0,104,3.7,1028,29,493,39,1,2
0,0,262,5.6,1489,59,628,54,0,3
2,0,278,5.3,1368,56,894,40,0,3
2,0,463,6.8,2358,68,1236,43,0,4
2,0,505,9.6,2464,91,2375,35,1,5
0,0,50,1.5,387,12,146,59,1,1
2,0,138,3.1,947,29,545,48,1,2
2,0,130,3.2,1189,37,448,45,1,2
0,0,469,6.4,1858,78,1297,55,0,4
2,0,555,10.3,2568,83,2003,52,1,5
3,1,198,5.4,1544,53,635,53,1,3
4,0,529,11.4,2891,82,1845,46,1,5
4,0,205,5.5,1699,49,729,36,1,3
3,1,170,2.4,1039,38,334,23,1,2
4,0,160,3.2,648,31,339,27,0,2
3,1,81,1.6,387,13,224,48,1,1
0,0,468,7.3,1937,64,1209,22,1,4
2,0,500,11.2,2925,84,2438,27,1,5
0,0,37,1.6,490,18,216,52,1,1
2,0,522,11.4,2776,93,1768,27,0,5
2,0,81,1.5,545,17,159,40,1,1
1,0,141,3.8,689,38,576,34,1,2
4,0,115,3.5,706,26,495,52,0,2
0,0,298,4.6,1525,59,814,36,0,3
3,1,33,1.8,334,16,113,36,0,1
0,0,307,6.1,2105,76,1111,25,0,4
2,0,380,7.6,2354,77,1191,30,1,4
2,0,190,5.5,1718,58,815,42,1,3
4,0,75,1.6,325,12,225,45,1,1
0,0,218,4.0,1221,47,822,25,1,3
2,0,412,6.6,1859,67,1393,18,1,4
0,0,335,7.7,2037,68,1007,18,1,4
1,0,387,6.3,2098,61,1178,54,1,4
0,0,261,4.9,1589,56,824,52,0,3
4,0,541,9.5,2424,98,1550,32,1,5
0,0,195,5.7,1447,48,679,30,1,3
3,1,178,4.0,856,37,569,51,0,2
2,0,378,6.7,1898,78,1455,48,0,4
2,0,505,8.6,2792,82,1709,31,1,5
4,0,564,9.7,2422,83,1985,34,0,5
3,1,92,3.9,1082,26,381,22,1,2
2,0,316,6.8,1965,68,1201,59,1,4
0,0,99,3.1,942,22,457,50,0,2
4,0,62,1.7,431,13,224,44,1,1
1,0,212,5.4,1306,49,828,23,0,3
